<strong>JS Classes: Definition</strong><br>[Source: understanding js the weird parts/classes/under the hood.md]<br>What is a <strong>Class</strong> in JavaScript under the hood?	It is just a <strong>function</strong> with a special signature (syntactic sugar).	obsidian://open?vault=mohamed&file=understanding%20js%20the%20weird%20parts%2Fclasses%2Funder%20the%20hood
<strong>JS Classes: Prototype</strong><br>[Source: understanding js the weird parts/classes/under the hood.md]<br>What is the relationship between an instance's `__proto__` and the Class's `prototype`?	They are <strong>equal</strong> (`instance.__proto__ === Class.prototype`).	obsidian://open?vault=mohamed&file=understanding%20js%20the%20weird%20parts%2Fclasses%2Funder%20the%20hood
<strong>JS Internals: Event Queue</strong><br>[Source: understanding js the weird parts/execution context and lexical environment/asynchronous callbacks.md]<br>When does the JS engine look at the <strong>Event Queue</strong> to process notifications?	Only when the <strong>Execution Stack is empty</strong>.	obsidian://open?vault=mohamed&file=understanding%20js%20the%20weird%20parts%2Fexecution%20context%20and%20lexical%20environment%2Fasynchronous%20callbacks
<strong>JS Internals: Execution Context</strong><br>[Source: understanding js the weird parts/execution context and lexical environment/code execution.md]<br>What happens during the <strong>Execution Phase</strong> of an execution context?	The engine runs the code <strong>line by line</strong>, using components set up in the creation phase.	obsidian://open?vault=mohamed&file=understanding%20js%20the%20weird%20parts%2Fexecution%20context%20and%20lexical%20environment%2Fcode%20execution
<strong>JS Internals: Hoisting</strong><br>[Source: understanding js the weird parts/execution context and lexical environment/creation and hoisting.md]<br>What value is assigned to variables during the <strong>Creation Phase</strong> (Hoisting)?	`undefined`.	obsidian://open?vault=mohamed&file=understanding%20js%20the%20weird%20parts%2Fexecution%20context%20and%20lexical%20environment%2Fcreation%20and%20hoisting
<strong>JS Internals: Function Invocation</strong><br>[Source: understanding js the weird parts/execution context and lexical environment/FUNCTION INVOCATION AND THE EXECUTION CONTEXT.md]<br>What is created every time a function is <strong>invoked</strong>?	A new <strong>Execution Context</strong>.	obsidian://open?vault=mohamed&file=understanding%20js%20the%20weird%20parts%2Fexecution%20context%20and%20lexical%20environment%2FFUNCTION%20INVOCATION%20AND%20THE%20EXECUTION%20CONTEXT
<strong>JS Internals: Variable Environment</strong><br>[Source: understanding js the weird parts/execution context and lexical environment/function, context and variable environment.md]<br>What does the <strong>Variable Environment</strong> describe?	Where variables <strong>live</strong> in memory and how they relate to each other within an execution context.	obsidian://open?vault=mohamed&file=understanding%20js%20the%20weird%20parts%2Fexecution%20context%20and%20lexical%20environment%2Ffunction%2C%20context%20and%20variable%20environment
<strong>JS Internals: Objects</strong><br>[Source: understanding js the weird parts/execution context and lexical environment/name-value pairs and objects.md]<br>What is an <strong>Object</strong> in JavaScript essentially?	A collection of <strong>Name-Value Pairs</strong>.	obsidian://open?vault=mohamed&file=understanding%20js%20the%20weird%20parts%2Fexecution%20context%20and%20lexical%20environment%2Fname-value%20pairs%20and%20objects
<strong>JS Execution: Single Threaded</strong><br>[Source: understanding js the weird parts/execution context and lexical environment/single threader synchronous execution.md]<br>What does <strong>Single Threaded</strong> mean in JavaScript?	Only <strong>one command</strong> is executed at a time.	obsidian://open?vault=mohamed&file=understanding%20js%20the%20weird%20parts%2Fexecution%20context%20and%20lexical%20environment%2Fsingle%20threader%20synchronous%20execution
<strong>JS Internals: Syntax Parser</strong><br>[Source: understanding js the weird parts/execution context and lexical environment/syntax parser, execution context and lexical environment.md]<br>What is a <strong>Syntax Parser</strong>?	A program that reads code, determines if it's grammatically valid, and translates it for the computer.	obsidian://open?vault=mohamed&file=understanding%20js%20the%20weird%20parts%2Fexecution%20context%20and%20lexical%20environment%2Fsyntax%20parser%2C%20execution%20context%20and%20lexical%20environment
<strong>JS Internals: Lexical Environment</strong><br>[Source: understanding js the weird parts/execution context and lexical environment/syntax parser, execution context and lexical environment.md]<br>What does <strong>Lexical Environment</strong> refer to?	Where code sits <strong>physically</strong> in the source files (and thus where it sits in memory).	obsidian://open?vault=mohamed&file=understanding%20js%20the%20weird%20parts%2Fexecution%20context%20and%20lexical%20environment%2Fsyntax%20parser%2C%20execution%20context%20and%20lexical%20environment
<strong>JS Internals: Global Object</strong><br>[Source: understanding js the weird parts/execution context and lexical environment/the global environment and global object.md]<br>What two things does the <strong>Global Execution Context</strong> create?	1. The <strong>Global Object</strong> (e.g., `window`)<br>2. The variable `this`	obsidian://open?vault=mohamed&file=understanding%20js%20the%20weird%20parts%2Fexecution%20context%20and%20lexical%20environment%2Fthe%20global%20environment%20and%20global%20object
<strong>JS Internals: Scope Chain</strong><br>[Source: understanding js the weird parts/execution context and lexical environment/the scope chain.md]<br>If a variable is not found in the current execution context, where does JS look?	It looks in the <strong>Outer Environment</strong> (Lexical Parent) via the <strong>Scope Chain</strong>.	obsidian://open?vault=mohamed&file=understanding%20js%20the%20weird%20parts%2Fexecution%20context%20and%20lexical%20environment%2Fthe%20scope%20chain
